Strategy Name,Iteration,Agent A Choice,Agent A Score,Agent B Choice,Agent B Score
generous_tit_for_tat,20,Cooperate,60,Cooperate,60
generous_tit_for_tat,21,Cooperate,63,Cooperate,63
generous_tit_for_tat,22,Cooperate,66,Cooperate,66
generous_tit_for_tat,23,Cooperate,69,Cooperate,69
generous_tit_for_tat,24,Cooperate,72,Cooperate,72
generous_tit_for_tat,25,Cooperate,75,Cooperate,75
generous_tit_for_tat,26,Cooperate,78,Cooperate,78
generous_tit_for_tat,27,Cooperate,81,Cooperate,81
generous_tit_for_tat,28,Cooperate,84,Cooperate,84
generous_tit_for_tat,29,Cooperate,87,Cooperate,87
generous_tit_for_tat,30,Cooperate,90,Cooperate,90
generous_tit_for_tat,31,Cooperate,93,Cooperate,93
generous_tit_for_tat,32,Cooperate,96,Cooperate,96
generous_tit_for_tat,33,Cooperate,99,Cooperate,99
generous_tit_for_tat,34,Cooperate,102,Cooperate,102
generous_tit_for_tat,35,Cooperate,105,Cooperate,105
generous_tit_for_tat,36,Cooperate,108,Cooperate,108
generous_tit_for_tat,37,Cooperate,111,Cooperate,111
generous_tit_for_tat,38,Cooperate,114,Cooperate,114
generous_tit_for_tat,39,Cooperate,117,Cooperate,117
generous_tit_for_tat,40,Cooperate,120,Cooperate,120
generous_tit_for_tat,41,Cooperate,123,Cooperate,123
generous_tit_for_tat,42,Cooperate,126,Cooperate,126
generous_tit_for_tat,43,Cooperate,129,Cooperate,129
generous_tit_for_tat,44,Cooperate,132,Cooperate,132
generous_tit_for_tat,45,Cooperate,135,Cooperate,135
generous_tit_for_tat,46,Cooperate,138,Cooperate,138
generous_tit_for_tat,47,Cooperate,141,Cooperate,141
generous_tit_for_tat,48,Cooperate,144,Cooperate,144
generous_tit_for_tat,49,Cooperate,147,Cooperate,147
generous_tit_for_tat,50,Cooperate,150,Cooperate,150
grim_trigger,1,Cooperate,3,Cooperate,3
grim_trigger,2,Cooperate,6,Cooperate,6
grim_trigger,3,Cooperate,9,Cooperate,9
grim_trigger,4,Cooperate,12,Cooperate,12
grim_trigger,5,Cooperate,15,Cooperate,15
grim_trigger,6,Cooperate,18,Cooperate,18
grim_trigger,7,Cooperate,21,Cooperate,21
grim_trigger,8,Cooperate,24,Cooperate,24
grim_trigger,9,Cooperate,27,Cooperate,27
grim_trigger,10,Cooperate,30,Cooperate,30
grim_trigger,11,Cooperate,33,Cooperate,33
grim_trigger,12,Cooperate,36,Cooperate,36
grim_trigger,13,Cooperate,39,Cooperate,39
grim_trigger,14,Cooperate,42,Cooperate,42
grim_trigger,15,Cooperate,45,Cooperate,45
grim_trigger,16,Cooperate,48,Cooperate,48
grim_trigger,17,Cooperate,51,Cooperate,51
grim_trigger,18,Cooperate,54,Cooperate,54
grim_trigger,19,Cooperate,57,Cooperate,57
grim_trigger,20,Cooperate,60,Cooperate,60
grim_trigger,21,Cooperate,63,Cooperate,63
grim_trigger,22,Cooperate,66,Cooperate,66
grim_trigger,23,Cooperate,69,Cooperate,69
grim_trigger,24,Cooperate,72,Cooperate,72
grim_trigger,25,Cooperate,75,Cooperate,75
grim_trigger,26,Cooperate,78,Cooperate,78
grim_trigger,27,Cooperate,81,Cooperate,81
grim_trigger,28,Cooperate,84,Cooperate,84
grim_trigger,29,Cooperate,87,Cooperate,87
grim_trigger,30,Cooperate,90,Cooperate,90
grim_trigger,31,Cooperate,93,Cooperate,93
grim_trigger,32,Cooperate,96,Cooperate,96
grim_trigger,33,Cooperate,99,Cooperate,99
grim_trigger,34,Cooperate,102,Cooperate,102
grim_trigger,35,Cooperate,105,Cooperate,105
grim_trigger,36,Cooperate,108,Cooperate,108
grim_trigger,37,Cooperate,111,Cooperate,111
grim_trigger,38,Cooperate,114,Cooperate,114
grim_trigger,39,Cooperate,117,Cooperate,117
grim_trigger,40,Cooperate,120,Cooperate,120
grim_trigger,41,Cooperate,123,Cooperate,123
grim_trigger,42,Cooperate,126,Cooperate,126
grim_trigger,43,Cooperate,129,Cooperate,129
grim_trigger,44,Cooperate,132,Cooperate,132
grim_trigger,45,Cooperate,135,Cooperate,135
grim_trigger,46,Cooperate,138,Cooperate,138
grim_trigger,47,Cooperate,141,Cooperate,141
grim_trigger,48,Cooperate,144,Cooperate,144
grim_trigger,49,Cooperate,147,Cooperate,147
grim_trigger,50,Cooperate,150,Cooperate,150
pavlov,1,Cooperate,3,Cooperate,3
pavlov,2,Cooperate,6,Cooperate,6
pavlov,3,Cooperate,9,Cooperate,9
pavlov,4,Cooperate,12,Cooperate,12
pavlov,5,Cooperate,15,Cooperate,15
pavlov,6,Cooperate,18,Cooperate,18
pavlov,7,Cooperate,21,Cooperate,21
pavlov,8,Cooperate,24,Cooperate,24
pavlov,9,Cooperate,27,Cooperate,27
pavlov,10,Cooperate,30,Cooperate,30
pavlov,11,Cooperate,33,Cooperate,33
pavlov,12,Cooperate,36,Cooperate,36
pavlov,13,Cooperate,39,Cooperate,39
pavlov,14,Cooperate,42,Cooperate,42
pavlov,15,Cooperate,45,Cooperate,45
pavlov,16,Cooperate,48,Cooperate,48
pavlov,17,Cooperate,51,Cooperate,51
pavlov,18,Cooperate,54,Cooperate,54
pavlov,19,Cooperate,57,Cooperate,57
pavlov,20,Cooperate,60,Cooperate,60
pavlov,21,Cooperate,63,Cooperate,63
pavlov,22,Cooperate,66,Cooperate,66
pavlov,23,Cooperate,69,Cooperate,69
pavlov,24,Cooperate,72,Cooperate,72
pavlov,25,Cooperate,75,Cooperate,75
pavlov,26,Cooperate,78,Cooperate,78
pavlov,27,Cooperate,81,Cooperate,81
pavlov,28,Cooperate,84,Cooperate,84
pavlov,29,Cooperate,87,Cooperate,87
pavlov,30,Cooperate,90,Cooperate,90
pavlov,31,Cooperate,93,Cooperate,93
pavlov,32,Cooperate,96,Cooperate,96
pavlov,33,Cooperate,99,Cooperate,99
pavlov,34,Cooperate,102,Cooperate,102
pavlov,35,Cooperate,105,Cooperate,105
pavlov,36,Cooperate,108,Cooperate,108
pavlov,37,Cooperate,111,Cooperate,111
pavlov,38,Cooperate,114,Cooperate,114
pavlov,39,Cooperate,117,Cooperate,117
pavlov,40,Cooperate,120,Cooperate,120
pavlov,41,Cooperate,123,Cooperate,123
pavlov,42,Cooperate,126,Cooperate,126
pavlov,43,Cooperate,129,Cooperate,129
pavlov,44,Cooperate,132,Cooperate,132
pavlov,45,Cooperate,135,Cooperate,135
pavlov,46,Cooperate,138,Cooperate,138
pavlov,47,Cooperate,141,Cooperate,141
pavlov,48,Cooperate,144,Cooperate,144
pavlov,49,Cooperate,147,Cooperate,147
pavlov,50,Cooperate,150,Cooperate,150
adaptive_strategy,1,Cooperate,3,Cooperate,3
adaptive_strategy,2,Cooperate,6,Cooperate,6
adaptive_strategy,3,Cooperate,9,Cooperate,9
adaptive_strategy,4,Cooperate,12,Cooperate,12
adaptive_strategy,5,Cooperate,15,Cooperate,15
adaptive_strategy,6,Cooperate,18,Cooperate,18
adaptive_strategy,7,Cooperate,21,Cooperate,21
adaptive_strategy,8,Cooperate,24,Cooperate,24
adaptive_strategy,9,Cooperate,27,Cooperate,27
adaptive_strategy,10,Cooperate,30,Cooperate,30
adaptive_strategy,11,Cooperate,33,Cooperate,33
adaptive_strategy,12,Cooperate,36,Cooperate,36
adaptive_strategy,13,Cooperate,39,Cooperate,39
adaptive_strategy,14,Cooperate,42,Cooperate,42
adaptive_strategy,15,Cooperate,45,Cooperate,45
adaptive_strategy,16,Cooperate,48,Cooperate,48
adaptive_strategy,17,Cooperate,51,Cooperate,51
adaptive_strategy,18,Cooperate,54,Cooperate,54
adaptive_strategy,19,Cooperate,57,Cooperate,57
adaptive_strategy,20,Cooperate,60,Cooperate,60
adaptive_strategy,21,Cooperate,63,Cooperate,63
adaptive_strategy,22,Cooperate,66,Cooperate,66
adaptive_strategy,23,Cooperate,69,Cooperate,69
adaptive_strategy,24,Cooperate,72,Cooperate,72
adaptive_strategy,25,Cooperate,75,Cooperate,75
adaptive_strategy,26,Cooperate,78,Cooperate,78
adaptive_strategy,27,Cooperate,81,Cooperate,81
adaptive_strategy,28,Cooperate,84,Cooperate,84
adaptive_strategy,29,Cooperate,87,Cooperate,87
adaptive_strategy,30,Cooperate,90,Cooperate,90
adaptive_strategy,31,Cooperate,93,Cooperate,93
adaptive_strategy,32,Cooperate,96,Cooperate,96
adaptive_strategy,33,Cooperate,99,Cooperate,99
adaptive_strategy,34,Cooperate,102,Cooperate,102
adaptive_strategy,35,Cooperate,105,Cooperate,105
adaptive_strategy,36,Cooperate,108,Cooperate,108
adaptive_strategy,37,Cooperate,111,Cooperate,111
adaptive_strategy,38,Cooperate,114,Cooperate,114
adaptive_strategy,39,Cooperate,117,Cooperate,117
adaptive_strategy,40,Cooperate,120,Cooperate,120
adaptive_strategy,41,Cooperate,123,Cooperate,123
adaptive_strategy,42,Cooperate,126,Cooperate,126
adaptive_strategy,43,Cooperate,129,Cooperate,129
adaptive_strategy,44,Cooperate,132,Cooperate,132
adaptive_strategy,45,Cooperate,135,Cooperate,135
adaptive_strategy,46,Cooperate,138,Cooperate,138
adaptive_strategy,47,Cooperate,141,Cooperate,141
adaptive_strategy,48,Cooperate,144,Cooperate,144
adaptive_strategy,49,Cooperate,147,Cooperate,147
adaptive_strategy,50,Cooperate,150,Cooperate,150
suspicious_tit_for_tat,1,Defect,5,Cooperate,0
suspicious_tit_for_tat,2,Cooperate,5,Defect,5
suspicious_tit_for_tat,3,Defect,6,Defect,6
suspicious_tit_for_tat,4,Defect,7,Defect,7
suspicious_tit_for_tat,5,Defect,8,Defect,8
suspicious_tit_for_tat,6,Defect,9,Defect,9
suspicious_tit_for_tat,7,Defect,10,Defect,10
suspicious_tit_for_tat,8,Defect,11,Defect,11
suspicious_tit_for_tat,9,Defect,12,Defect,12
suspicious_tit_for_tat,10,Defect,13,Defect,13
suspicious_tit_for_tat,11,Defect,14,Defect,14
suspicious_tit_for_tat,12,Defect,15,Defect,15
suspicious_tit_for_tat,13,Defect,16,Defect,16
suspicious_tit_for_tat,14,Defect,17,Defect,17
suspicious_tit_for_tat,15,Defect,18,Defect,18
suspicious_tit_for_tat,16,Defect,19,Defect,19
suspicious_tit_for_tat,17,Defect,20,Defect,20
suspicious_tit_for_tat,18,Defect,21,Defect,21
suspicious_tit_for_tat,19,Defect,22,Defect,22
suspicious_tit_for_tat,20,Defect,23,Defect,23
suspicious_tit_for_tat,21,Defect,24,Defect,24
suspicious_tit_for_tat,22,Defect,25,Defect,25
suspicious_tit_for_tat,23,Defect,26,Defect,26
suspicious_tit_for_tat,24,Defect,27,Defect,27
suspicious_tit_for_tat,25,Defect,28,Defect,28
suspicious_tit_for_tat,26,Defect,29,Defect,29
suspicious_tit_for_tat,27,Defect,30,Defect,30
suspicious_tit_for_tat,28,Defect,31,Defect,31
suspicious_tit_for_tat,29,Defect,32,Defect,32
suspicious_tit_for_tat,30,Defect,33,Defect,33
suspicious_tit_for_tat,31,Defect,34,Defect,34
suspicious_tit_for_tat,32,Defect,35,Defect,35
suspicious_tit_for_tat,33,Defect,36,Defect,36
suspicious_tit_for_tat,34,Defect,37,Defect,37
suspicious_tit_for_tat,35,Defect,38,Defect,38
suspicious_tit_for_tat,36,Defect,39,Defect,39
suspicious_tit_for_tat,37,Defect,40,Defect,40
suspicious_tit_for_tat,38,Defect,41,Defect,41
suspicious_tit_for_tat,39,Defect,42,Defect,42
suspicious_tit_for_tat,40,Defect,43,Defect,43
suspicious_tit_for_tat,41,Defect,44,Defect,44
suspicious_tit_for_tat,42,Defect,45,Defect,45
suspicious_tit_for_tat,43,Defect,46,Defect,46
suspicious_tit_for_tat,44,Defect,47,Defect,47
suspicious_tit_for_tat,45,Defect,48,Defect,48
suspicious_tit_for_tat,46,Defect,49,Defect,49
suspicious_tit_for_tat,47,Defect,50,Defect,50
suspicious_tit_for_tat,48,Defect,51,Defect,51
suspicious_tit_for_tat,49,Defect,52,Defect,52
suspicious_tit_for_tat,50,Defect,53,Defect,53
random_strategy,1,Cooperate,3,Cooperate,3
random_strategy,2,Cooperate,6,Cooperate,6
random_strategy,3,Defect,11,Cooperate,6
random_strategy,4,Cooperate,11,Defect,11
random_strategy,5,Defect,12,Defect,12
random_strategy,6,Cooperate,15,Cooperate,15
random_strategy,7,Defect,16,Defect,16
random_strategy,8,Defect,17,Defect,17
random_strategy,9,Defect,18,Defect,18
random_strategy,10,Cooperate,18,Defect,23
random_strategy,11,Defect,19,Defect,24
random_strategy,12,Cooperate,19,Defect,29
random_strategy,13,Cooperate,19,Defect,34
random_strategy,14,Defect,20,Defect,35
random_strategy,15,Cooperate,20,Defect,40
random_strategy,16,Cooperate,20,Defect,45
random_strategy,17,Cooperate,20,Defect,50
random_strategy,18,Cooperate,20,Defect,55
random_strategy,19,Cooperate,20,Defect,60
random_strategy,20,Cooperate,20,Defect,65
random_strategy,21,Cooperate,20,Defect,70
random_strategy,22,Cooperate,20,Defect,75
random_strategy,23,Defect,21,Defect,76
random_strategy,24,Defect,22,Defect,77
random_strategy,25,Defect,23,Defect,78
random_strategy,26,Defect,24,Defect,79
random_strategy,27,Cooperate,24,Defect,84
random_strategy,28,Cooperate,24,Defect,89
random_strategy,29,Cooperate,24,Defect,94
random_strategy,30,Defect,25,Defect,95
random_strategy,31,Defect,26,Defect,96
random_strategy,32,Defect,27,Defect,97
random_strategy,33,Cooperate,27,Defect,102
random_strategy,34,Defect,28,Defect,103
random_strategy,35,Cooperate,28,Defect,108
random_strategy,36,Cooperate,28,Defect,113
random_strategy,37,Defect,29,Defect,114
random_strategy,38,Cooperate,29,Defect,119
random_strategy,39,Defect,30,Defect,120
random_strategy,40,Cooperate,30,Defect,125
random_strategy,41,Cooperate,30,Defect,130
random_strategy,42,Cooperate,30,Defect,135
random_strategy,43,Cooperate,30,Defect,140
random_strategy,44,Cooperate,30,Defect,145
random_strategy,45,Defect,31,Defect,146
random_strategy,46,Defect,32,Defect,147
random_strategy,47,Defect,33,Defect,148
random_strategy,48,Cooperate,33,Defect,153
random_strategy,49,Defect,34,Defect,154
random_strategy,50,Defect,35,Defect,155
tester,1,Cooperate,3,Cooperate,3
tester,2,Defect,8,Cooperate,3
tester,3,Defect,9,Defect,4
tester,4,Cooperate,9,Defect,9
tester,5,Cooperate,9,Defect,14
tester,6,Cooperate,9,Defect,19
tester,7,Cooperate,9,Defect,24
tester,8,Cooperate,12,Cooperate,27
tester,9,Defect,13,Defect,28
tester,10,Cooperate,16,Cooperate,31
tester,11,Defect,17,Defect,32
tester,12,Cooperate,20,Cooperate,35
tester,13,Defect,21,Defect,36
tester,14,Cooperate,21,Defect,41
tester,15,Cooperate,21,Defect,46
tester,16,Cooperate,21,Defect,51
tester,17,Cooperate,21,Defect,56
tester,18,Cooperate,21,Defect,61
tester,19,Cooperate,21,Defect,66
tester,20,Cooperate,24,Cooperate,69
tester,21,Defect,29,Cooperate,69
tester,22,Defect,30,Defect,70
tester,23,Cooperate,30,Defect,75
tester,24,Cooperate,30,Defect,80
tester,25,Cooperate,30,Defect,85
tester,26,Cooperate,30,Defect,90
tester,27,Cooperate,30,Defect,95
tester,28,Cooperate,30,Defect,100
tester,29,Cooperate,30,Defect,105
tester,30,Cooperate,30,Defect,110
tester,31,Cooperate,30,Defect,115
tester,32,Cooperate,33,Cooperate,118
tester,33,Defect,34,Defect,119
tester,34,Cooperate,34,Defect,124
tester,35,Cooperate,34,Defect,129
tester,36,Cooperate,34,Defect,134
tester,37,Cooperate,34,Defect,139
tester,38,Cooperate,34,Defect,144
tester,39,Cooperate,34,Defect,149
tester,40,Cooperate,34,Defect,154
tester,41,Cooperate,34,Defect,159
tester,42,Cooperate,34,Defect,164
tester,43,Cooperate,34,Defect,169
tester,44,Cooperate,34,Defect,174
tester,45,Cooperate,34,Defect,179
tester,46,Cooperate,34,Defect,184
tester,47,Cooperate,34,Defect,189
tester,48,Cooperate,37,Cooperate,192
tester,49,Defect,38,Defect,193
tester,50,Cooperate,38,Defect,198
gradual,1,Cooperate,3,Cooperate,3
gradual,2,Cooperate,6,Cooperate,6
gradual,3,Cooperate,9,Cooperate,9
gradual,4,Cooperate,12,Cooperate,12
gradual,5,Cooperate,15,Cooperate,15
gradual,6,Cooperate,18,Cooperate,18
gradual,7,Cooperate,21,Cooperate,21
gradual,8,Cooperate,24,Cooperate,24
gradual,9,Cooperate,27,Cooperate,27
gradual,10,Cooperate,30,Cooperate,30
gradual,11,Cooperate,33,Cooperate,33
gradual,12,Cooperate,36,Cooperate,36
gradual,13,Cooperate,39,Cooperate,39
gradual,14,Cooperate,42,Cooperate,42
gradual,15,Cooperate,45,Cooperate,45
gradual,16,Cooperate,48,Cooperate,48
gradual,17,Cooperate,51,Cooperate,51
gradual,18,Cooperate,54,Cooperate,54
gradual,19,Cooperate,57,Cooperate,57
gradual,20,Cooperate,60,Cooperate,60
gradual,21,Cooperate,63,Cooperate,63
gradual,22,Cooperate,66,Cooperate,66
gradual,23,Cooperate,69,Cooperate,69
gradual,24,Cooperate,72,Cooperate,72
gradual,25,Cooperate,75,Cooperate,75
gradual,26,Cooperate,78,Cooperate,78
gradual,27,Cooperate,81,Cooperate,81
gradual,28,Cooperate,84,Cooperate,84
gradual,29,Cooperate,87,Cooperate,87
gradual,30,Cooperate,90,Cooperate,90
gradual,31,Cooperate,93,Cooperate,93
gradual,32,Cooperate,96,Cooperate,96
gradual,33,Cooperate,99,Cooperate,99
gradual,34,Cooperate,102,Cooperate,102
gradual,35,Cooperate,105,Cooperate,105
gradual,36,Cooperate,108,Cooperate,108
gradual,37,Cooperate,111,Cooperate,111
gradual,38,Cooperate,114,Cooperate,114
gradual,39,Cooperate,117,Cooperate,117
gradual,40,Cooperate,120,Cooperate,120
gradual,41,Cooperate,123,Cooperate,123
gradual,42,Cooperate,126,Cooperate,126
gradual,43,Cooperate,129,Cooperate,129
gradual,44,Cooperate,132,Cooperate,132
gradual,45,Cooperate,135,Cooperate,135
gradual,46,Cooperate,138,Cooperate,138
gradual,47,Cooperate,141,Cooperate,141
gradual,48,Cooperate,144,Cooperate,144
gradual,49,Cooperate,147,Cooperate,147
gradual,50,Cooperate,150,Cooperate,150
pavlov_with_forgiveness,1,Cooperate,3,Cooperate,3
pavlov_with_forgiveness,2,Cooperate,6,Cooperate,6
pavlov_with_forgiveness,3,Cooperate,9,Cooperate,9
pavlov_with_forgiveness,4,Cooperate,12,Cooperate,12
pavlov_with_forgiveness,5,Cooperate,15,Cooperate,15
pavlov_with_forgiveness,6,Cooperate,18,Cooperate,18
pavlov_with_forgiveness,7,Cooperate,21,Cooperate,21
pavlov_with_forgiveness,8,Cooperate,24,Cooperate,24
pavlov_with_forgiveness,9,Cooperate,27,Cooperate,27
pavlov_with_forgiveness,10,Cooperate,30,Cooperate,30
pavlov_with_forgiveness,11,Cooperate,33,Cooperate,33
pavlov_with_forgiveness,12,Cooperate,36,Cooperate,36
pavlov_with_forgiveness,13,Cooperate,39,Cooperate,39
pavlov_with_forgiveness,14,Cooperate,42,Cooperate,42
pavlov_with_forgiveness,15,Cooperate,45,Cooperate,45
pavlov_with_forgiveness,16,Cooperate,48,Cooperate,48
pavlov_with_forgiveness,17,Cooperate,51,Cooperate,51
pavlov_with_forgiveness,18,Cooperate,54,Cooperate,54
pavlov_with_forgiveness,19,Cooperate,57,Cooperate,57
pavlov_with_forgiveness,20,Cooperate,60,Cooperate,60
pavlov_with_forgiveness,21,Cooperate,63,Cooperate,63
pavlov_with_forgiveness,22,Cooperate,66,Cooperate,66
pavlov_with_forgiveness,23,Cooperate,69,Cooperate,69
pavlov_with_forgiveness,24,Cooperate,72,Cooperate,72
pavlov_with_forgiveness,25,Cooperate,75,Cooperate,75
pavlov_with_forgiveness,26,Cooperate,78,Cooperate,78
pavlov_with_forgiveness,27,Cooperate,81,Cooperate,81
pavlov_with_forgiveness,28,Cooperate,84,Cooperate,84
pavlov_with_forgiveness,29,Cooperate,87,Cooperate,87
pavlov_with_forgiveness,30,Cooperate,90,Cooperate,90
pavlov_with_forgiveness,31,Cooperate,93,Cooperate,93
pavlov_with_forgiveness,32,Cooperate,96,Cooperate,96
pavlov_with_forgiveness,33,Cooperate,99,Cooperate,99
pavlov_with_forgiveness,34,Cooperate,102,Cooperate,102
pavlov_with_forgiveness,35,Cooperate,105,Cooperate,105
pavlov_with_forgiveness,36,Cooperate,108,Cooperate,108
pavlov_with_forgiveness,37,Cooperate,111,Cooperate,111
pavlov_with_forgiveness,38,Cooperate,114,Cooperate,114
pavlov_with_forgiveness,39,Cooperate,117,Cooperate,117
pavlov_with_forgiveness,40,Cooperate,120,Cooperate,120
pavlov_with_forgiveness,41,Cooperate,123,Cooperate,123
pavlov_with_forgiveness,42,Cooperate,126,Cooperate,126
pavlov_with_forgiveness,43,Cooperate,129,Cooperate,129
pavlov_with_forgiveness,44,Cooperate,132,Cooperate,132
pavlov_with_forgiveness,45,Cooperate,135,Cooperate,135
pavlov_with_forgiveness,46,Cooperate,138,Cooperate,138
pavlov_with_forgiveness,47,Cooperate,141,Cooperate,141
pavlov_with_forgiveness,48,Cooperate,144,Cooperate,144
pavlov_with_forgiveness,49,Cooperate,147,Cooperate,147
